序列,character,GBK,Unicode,华夏码编码,voice_code,1,2,3
,一,D2BB,4E00,,y,h,,
,丁,B6A1,4E01,,d,i,,
,丁,B6A1,4E01,,z,i,,
,丂,8140,4E02,,k,w,,
,丂,8140,4E02,,q,w,,
,丂,8140,4E02,,y,w,,
,七,C6DF,4E03,,q,f,,
,丄,8141,4E04,,s,i,,
,丅,8142,4E05,,x,i,,
,丆,8143,4E06,,m,o,,
,万,CDF2,4E07,,w,w,p,
,丈,D5C9,4E08,,z,o,d,d
,三,C8FD,4E09,,s,h,h,h
,上,C9CF,4E0A,,s,i,h,h
,下,CFC2,4E0B,,x,i,d,d
,丌,D8A2,4E0C,,q,o,i,i
,丌,D8A2,4E0C,,j,o,i,i
,不,B2BB,4E0D,,b,o,x,x
,不,B2BB,4E0D,,f,o,x,x
,与,D3EB,4E0E,,y,w,h,h
,丏,8144,4E0F,,m,i,z,z
,丐,D8A4,4E10,,g,i,w,w
,丑,B3F3,4E11,,c,l,h,h
,丒,8145,4E12,,c,d,a,a
,专,D7A8,4E13,,z,h,a,a
,且,C7D2,4E14,,q,q,,
,且,C7D2,4E14,,j,q,,
,丕,D8A7,4E15,,p,o,x,x
,世,CAC0,4E16,,s,c,w,w
,丗,8146,4E17,,s,c,i,i
,丘,C7F0,4E18,,q,o,g,g
,丙,B1FB,4E19,,b,h,l,l
,业,D2B5,4E1A,,y,i,v,v
,丛,B4D4,4E1B,,c,r,r,r
,东,B6AB,4E1C,,d,w,x,x
,丝,CBBF,4E1D,,s,u,u,u
,丞,D8A9,4E1E,,c,l,f,f
,丟,8147,4E1F,,d,h,t,t
,丠,8148,4E20,,q,i,f,f
,両,8149,4E21,,l,h,l,l
,丢,B6AA,4E22,,d,p,t,t
,丣,814A,4E23,,y,o,w,w
,两,C1BD,4E24,,l,h,l,l
,严,D1CF,4E25,,y,i,x,x
,並,814B,4E26,,b,v,i,i
,丧,C9A5,4E27,,s,i,v,v
,丨,D8AD,4E28,,g,i,,
,丩,814C,4E29,,j,l,,
,个,B8F6,4E2A,,g,r,i,i
,丫,D1BE,4E2B,,y,v,i,i
,丬,E3DC,4E2C,,p,d,i,i
,中,D6D0,4E2D,,z,k,i,i
,丮,814D,4E2E,,j,w,i,i
,丯,814E,4E2F,,j,p,o,o
,丰,B7E1,4E30,,f,h,i,i
,丱,814F,4E31,,g,f,i,i
,丱,814F,4E31,,k,f,i,i
,串,B4AE,4E32,,c,k,k,k
,丳,8150,4E33,,c,k,k,k
,临,C1D9,4E34,,l,i,o,o
,丵,8151,4E35,,z,i,v,v
,丶,D8BC,4E36,,z,d,,
,丷,8152,4E37,,b,v,,
,丸,CDE8,4E38,,w,f,d,d
,丹,B5A4,4E39,,d,f,a,a
,为,CEAA,4E3A,,w,d,l,l
,主,D6F7,4E3B,,z,d,w,w
,丼,8153,4E3C,,j,h,o,o
,丽,C0F6,4E3D,,l,h,l,l
,举,BED9,4E3E,,j,v,v,v
,丿,D8AF,4E3F,,p,p,,
,乀,8154,4E40,,f,z,,
,乁,8155,4E41,,y,z,,
,乁,8155,4E41,,j,z,,
,乂,8156,4E42,,y,v,,
,乃,C4CB,4E43,,n,f,,
,乄,8157,4E44,,w,a,,
,久,BEC3,4E45,,j,f,d,d
,乆,8158,4E46,,j,z,r,r
,乇,D8B1,4E47,,t,o,z,z
,乇,D8B1,4E47,,z,o,z,z
,么,C3B4,4E48,,m,f,d,d
,么,C3B4,4E48,,y,f,d,d
,义,D2E5,4E49,,y,v,d,d
,乊,8159,4E4A,,y,v,p,p
,之,D6AE,4E4B,,z,a,d,d
,乌,CEDA,4E4C,,w,n,,
,乍,D5A7,4E4D,,z,o,i,i
,乎,BAF5,4E4E,,h,p,v,v
,乏,B7A6,4E4F,,f,v,a,a
,乐,C0D6,4E50,,l,f,x,x
,乐,C0D6,4E50,,y,f,x,x
,乑,815A,4E51,,y,o,p,p
,乒,C6B9,4E52,,p,o,g,g
,乓,C5D2,4E53,,p,o,g,g
,乔,C7C7,4E54,,q,p,r,r
,乕,815B,4E55,,h,p,h,h
,乖,B9D4,4E56,,g,o,i,i
,乗,815C,4E57,,c,o,c,c
,乗,815C,4E57,,s,o,c,c
,乘,B3CB,4E58,,c,o,i,i
,乘,B3CB,4E58,,s,o,i,i
,乙,D2D2,4E59,,y,z,,
,乚,815D,4E5A,,h,z,,
,乚,815D,4E5A,,y,z,,
,乛,815E,4E5B,,y,z,,
,乜,D8BF,4E5C,,m,z,,
,乜,D8BF,4E5C,,n,z,,
,九,BEC5,4E5D,,j,f,,
,乞,C6F2,4E5E,,q,o,z,z
,也,D2B2,4E5F,,y,y,,
,习,CFB0,4E60,,x,z,d,d
,乡,CFE7,4E61,,x,u,p,p
,乢,815F,4E62,,g,s,z,z
,乣,8160,4E63,,j,u,z,z
,乤,8161,4E64,,x,i,a,a
,乥,8162,4E65,,h,v,f,f
,书,CAE9,4E66,,s,z,x,x
,乧,8163,4E67,,d,d,i,i
,乨,8164,4E68,,s,a,k,k
,乩,D8C0,4E69,,j,i,k,k
,乪,8165,4E6A,,n,z,l,l
,乫,8166,4E6B,,j,l,k,k
,乬,8167,4E6C,,j,h,e,e
,乭,8168,4E6D,,s,o,k,k
,乮,8169,4E6E,,m,f,e,e
,乯,816A,4E6F,,h,p,v,v
,买,C2F2,4E70,,m,a,d,d
,乱,C2D2,4E71,,l,o,i,i
,乲,816B,4E72,,c,d,f,f
